,lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
9704,84800358480196,2022,Bryson-Jokiharju,BUF,pairing,5on5,22,2970.0,165.0,0.4,0.49,0.42,23.05,1.78,1.45,5.05,0.73,12.71,9.28,1.76,1.76,1.74,21.0,10.0,17.0,48.0,1.0,1.0,0.0,7.0,3.0,8.0,11.0,20.0,30.0,4.0,8.0,18.0,21.0,5.0,8.0,23.0,8.0,0.0,0.85,0.93,0.0,0.0,1.0,0.0,47.15,31.0,30.05,6.0,0.29,0.17,0.17,1.91,1.88,1.86,30.51,2.67,1.89,7.58,1.0,16.26,12.6,2.55,2.77,2.65,36.0,6.0,8.0,50.0,3.0,5.0,1.0,8.0,1.0,13.0,12.0,33.0,39.0,5.0,10.0,32.0,19.0,6.0,8.0,31.0,9.0,2.0,0.99,1.05,0.63,1.0,2.0,0.0,52.46,42.0,43.55,5.0,0.39,0.82,0.82,2.24,2.31,2.28
2624,84774998480839,2020,Dahlin-Ristolainen,BUF,pairing,5on5,36,5151.0,231.0,0.42,0.46,0.45,39.23,3.46,2.73,9.24,1.23,21.22,16.11,3.33,3.4,3.28,35.0,19.0,13.0,67.0,3.0,7.0,2.0,4.0,1.0,10.0,29.0,32.0,51.0,6.0,12.0,39.0,30.0,7.0,13.0,39.0,11.0,4.0,1.16,1.27,1.02,1.0,0.0,2.0,64.13,54.0,52.19,6.0,0.57,1.36,1.23,2.79,2.74,2.72,47.53,4.86,3.51,10.53,1.49,26.02,18.59,4.73,5.07,4.93,51.0,14.0,15.0,80.0,7.0,6.0,2.0,9.0,0.0,11.0,32.0,44.0,58.0,3.0,8.0,29.0,25.0,9.0,8.0,44.0,15.0,6.0,1.27,1.75,1.85,2.0,2.0,3.0,84.92,65.0,68.54,3.0,0.72,1.17,1.17,4.42,4.58,4.55
512,84746188480035,2019,Scandella-Jokiharju,BUF,pairing,5on5,30,19623.0,75.0,0.56,0.53,0.54,164.55,13.62,10.84,37.28,5.17,94.27,69.83,13.38,13.87,13.63,164.0,67.0,59.0,290.0,18.0,7.0,1.0,32.0,6.0,84.0,84.0,146.0,213.0,17.0,37.0,146.0,114.0,24.0,43.0,175.0,47.0,9.0,5.2,5.82,2.6,8.0,8.0,2.0,296.74,231.0,235.28,34.0,2.23,1.33,1.29,14.56,14.83,14.66,137.57,10.65,8.99,32.19,4.41,78.61,59.15,10.42,10.55,10.32,150.0,44.0,61.0,255.0,12.0,7.0,2.0,34.0,5.0,56.0,80.0,138.0,182.0,25.0,53.0,167.0,120.0,24.0,65.0,153.0,34.0,7.0,4.28,4.24,2.13,4.0,7.0,1.0,251.5,194.0,192.58,38.0,1.84,1.24,1.24,11.25,11.19,11.06
7613,84801968480807,2021,Samuelsson-Bryson,BUF,pairing,5on5,31,10176.0,164.0,0.43,0.48,0.45,67.54,5.17,4.55,15.61,2.1,38.52,28.04,5.13,5.26,5.21,81.0,13.0,37.0,131.0,13.0,2.0,1.0,17.0,2.0,27.0,33.0,68.0,81.0,8.0,16.0,70.0,49.0,32.0,27.0,73.0,19.0,2.0,2.03,2.6,0.54,8.0,4.0,1.0,130.35,94.0,94.44,15.0,0.94,0.32,0.32,5.79,5.86,5.81,80.74,6.73,5.27,19.61,2.73,45.83,33.84,6.54,6.8,6.6,76.0,38.0,29.0,143.0,8.0,5.0,1.0,20.0,5.0,30.0,46.0,68.0,106.0,8.0,16.0,68.0,69.0,16.0,31.0,92.0,16.0,6.0,3.07,1.97,1.69,4.0,2.0,2.0,143.92,114.0,114.26,21.0,1.09,0.81,0.81,7.0,7.05,6.97
9237,84800358480807,2022,Samuelsson-Jokiharju,BUF,pairing,5on5,41,4136.0,299.0,0.46,0.38,0.41,24.45,2.58,1.54,4.88,0.76,12.7,10.54,2.5,2.6,2.51,20.0,13.0,5.0,38.0,2.0,2.0,1.0,6.0,0.0,9.0,14.0,18.0,31.0,3.0,6.0,11.0,21.0,5.0,6.0,21.0,10.0,2.0,0.78,1.11,0.7,1.0,0.0,1.0,38.14,33.0,33.24,4.0,0.32,0.7,0.7,2.2,2.22,2.19,35.17,3.0,2.31,8.81,1.22,18.16,14.5,2.99,3.04,3.02,36.0,12.0,14.0,62.0,6.0,2.0,1.0,6.0,1.0,13.0,20.0,30.0,42.0,3.0,6.0,23.0,23.0,11.0,13.0,36.0,10.0,2.0,1.11,1.33,0.56,3.0,2.0,1.0,61.72,48.0,47.76,5.0,0.48,0.32,0.32,3.16,3.19,3.18
4956,84757968476525,2021,Pysyk-Miller,BUF,pairing,5on5,20,2824.0,163.0,0.45,0.49,0.44,23.13,1.46,1.44,5.66,0.71,13.17,9.56,1.41,1.42,1.37,20.0,12.0,15.0,47.0,1.0,1.0,0.0,4.0,0.0,11.0,15.0,19.0,31.0,3.0,6.0,7.0,10.0,4.0,5.0,26.0,5.0,1.0,0.67,0.55,0.24,1.0,0.0,0.0,45.62,32.0,31.33,4.0,0.29,0.18,0.18,1.57,1.54,1.5,29.15,1.76,1.76,7.09,0.88,15.64,12.86,1.72,1.77,1.72,29.0,11.0,8.0,48.0,1.0,2.0,0.0,10.0,2.0,11.0,14.0,28.0,39.0,2.0,4.0,21.0,19.0,2.0,7.0,35.0,3.0,2.0,1.03,0.32,0.41,1.0,0.0,0.0,48.71,40.0,40.56,2.0,0.36,0.41,0.41,1.71,1.72,1.68
4252,84774998477986,2020,Montour-Ristolainen,BUF,pairing,5on5,27,2030.0,197.0,0.47,0.48,0.44,14.83,1.08,0.79,4.05,0.46,7.51,6.11,1.07,1.06,1.05,13.0,7.0,6.0,26.0,0.0,2.0,0.0,2.0,1.0,3.0,12.0,13.0,20.0,1.0,2.0,7.0,6.0,2.0,3.0,18.0,0.0,2.0,0.32,0.0,0.75,0.0,0.0,0.0,25.34,20.0,19.58,0.0,0.16,0.54,0.54,0.7,0.68,0.67,17.07,1.21,1.18,4.11,0.6,10.19,7.71,1.19,1.22,1.2,20.0,5.0,3.0,28.0,1.0,1.0,0.0,6.0,0.0,8.0,9.0,19.0,24.0,0.0,0.0,6.0,14.0,3.0,5.0,21.0,3.0,1.0,0.57,0.36,0.28,0.0,1.0,0.0,28.96,25.0,25.71,1.0,0.24,0.28,0.28,1.17,1.18,1.17
561,84745678476525,2019,Bogosian-Miller,BUF,pairing,5on5,8,2815.0,53.0,0.52,0.48,0.48,17.36,1.79,1.23,4.22,0.61,9.5,6.64,1.77,1.77,1.75,16.0,8.0,10.0,34.0,1.0,2.0,0.0,2.0,1.0,7.0,11.0,15.0,23.0,4.0,8.0,20.0,23.0,2.0,3.0,17.0,4.0,3.0,0.51,0.42,0.86,0.0,0.0,1.0,33.59,24.0,23.66,1.0,0.26,0.54,0.54,1.51,1.51,1.49,18.66,1.64,1.18,4.26,0.58,10.29,8.06,1.63,1.74,1.72,18.0,8.0,11.0,37.0,4.0,1.0,0.0,1.0,0.0,7.0,13.0,14.0,22.0,3.0,6.0,24.0,17.0,10.0,8.0,21.0,3.0,2.0,0.68,0.47,0.49,2.0,1.0,1.0,37.8,26.0,26.91,4.0,0.24,0.26,0.26,1.63,1.7,1.69
12964,84800358480839,2023,Dahlin-Jokiharju,BUF,pairing,5on5,68,29837.0,298.0,0.55,0.55,0.57,280.36,22.57,18.18,71.31,9.4,155.98,114.56,21.89,22.4,21.73,261.0,131.0,146.0,538.0,14.0,24.0,3.0,60.0,1.0,157.0,136.0,247.0,378.0,33.0,69.0,257.0,167.0,55.0,42.0,307.0,67.0,18.0,9.47,8.39,4.72,6.0,5.0,3.0,533.57,392.0,388.52,27.0,3.77,4.68,4.68,21.67,21.48,21.09,219.36,18.29,14.69,54.07,7.13,118.29,87.53,17.84,18.51,18.04,186.0,114.0,141.0,441.0,12.0,16.0,0.0,42.0,1.0,104.0,125.0,174.0,288.0,42.0,85.0,302.0,213.0,57.0,54.0,226.0,57.0,17.0,6.68,7.24,4.37,6.0,4.0,2.0,442.62,300.0,301.14,21.0,3.05,2.06,2.06,19.29,19.45,19.19
11028,84808398482671,2022,Dahlin-Power,BUF,pairing,5on5,70,14247.0,408.0,0.51,0.59,0.55,144.22,11.46,9.31,33.8,4.71,80.69,60.04,11.2,11.29,11.03,146.0,54.0,74.0,274.0,17.0,10.0,0.0,39.0,6.0,60.0,68.0,129.0,183.0,19.0,40.0,85.0,45.0,29.0,27.0,152.0,43.0,5.0,5.06,5.18,1.22,8.0,7.0,2.0,265.24,200.0,195.05,6.0,1.92,1.52,1.39,11.99,11.79,11.6,117.33,11.15,7.91,26.52,3.84,63.66,47.93,10.65,11.39,10.88,111.0,50.0,33.0,194.0,5.0,14.0,2.0,26.0,7.0,45.0,64.0,106.0,156.0,20.0,40.0,141.0,67.0,33.0,30.0,118.0,33.0,10.0,3.84,3.99,3.32,3.0,1.0,1.0,202.07,161.0,166.71,20.0,1.62,3.39,3.39,9.39,9.63,9.5
7530,84800358482671,2021,Power-Jokiharju,BUF,pairing,5on5,8,6555.0,15.0,0.49,0.56,0.54,58.27,4.94,4.01,12.97,1.89,33.49,24.7,4.88,5.03,4.96,63.0,19.0,25.0,107.0,6.0,4.0,0.0,18.0,3.0,23.0,28.0,57.0,76.0,8.0,16.0,48.0,22.0,13.0,15.0,61.0,18.0,3.0,2.14,2.08,0.73,2.0,3.0,1.0,109.06,82.0,83.39,9.0,0.82,0.6,0.6,5.17,5.25,5.2,52.27,5.16,3.38,12.31,1.7,26.44,20.01,4.72,4.98,4.56,55.0,14.0,15.0,84.0,6.0,5.0,2.0,11.0,4.0,20.0,23.0,49.0,63.0,9.0,18.0,59.0,33.0,12.0,22.0,47.0,18.0,4.0,1.28,2.54,1.34,3.0,1.0,2.0,82.47,69.0,67.99,18.0,0.7,1.0,1.45,4.41,4.29,4.11
11047,84793488479578,2022,Clague-Fitzgerald,BUF,pairing,5on5,8,1736.0,61.0,0.56,0.56,0.57,17.63,1.01,1.09,4.14,0.55,9.65,7.57,0.94,0.99,0.92,13.0,11.0,5.0,29.0,2.0,1.0,0.0,3.0,0.0,8.0,10.0,11.0,22.0,2.0,4.0,11.0,12.0,5.0,3.0,21.0,2.0,1.0,0.55,0.24,0.22,1.0,1.0,0.0,28.98,24.0,24.01,0.0,0.22,0.22,0.22,1.01,1.0,0.98,13.17,0.8,0.82,3.23,0.42,7.27,5.47,0.79,0.83,0.83,13.0,5.0,5.0,23.0,2.0,1.0,0.0,2.0,1.0,5.0,7.0,11.0,16.0,2.0,4.0,15.0,16.0,4.0,4.0,14.0,4.0,0.0,0.35,0.45,0.0,0.0,2.0,0.0,23.27,18.0,18.39,3.0,0.17,0.02,0.02,0.94,0.98,0.98
13518,84793488480035,2023,Clague-Jokiharju,BUF,pairing,5on5,2,908.0,15.0,0.32,0.52,0.41,4.66,0.24,0.29,1.07,0.15,3.12,2.13,0.24,0.23,0.23,4.0,3.0,7.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,6.0,0.0,0.0,6.0,5.0,1.0,1.0,7.0,0.0,0.0,0.24,0.0,0.0,1.0,0.0,0.0,14.08,7.0,7.08,0.0,0.06,0.0,0.0,0.3,0.29,0.29,6.52,0.51,0.43,1.94,0.25,4.01,2.85,0.51,0.54,0.53,3.0,7.0,3.0,13.0,0.0,0.0,0.0,1.0,0.0,2.0,7.0,3.0,10.0,0.0,0.0,8.0,9.0,2.0,0.0,7.0,3.0,0.0,0.2,0.31,0.0,0.0,0.0,0.0,13.3,10.0,10.24,0.0,0.09,0.0,0.0,0.6,0.63,0.62
725,84765258480935,2019,Pilut-Miller,BUF,pairing,5on5,4,1633.0,16.0,0.64,0.51,0.55,11.39,0.73,0.69,2.59,0.34,6.57,5.07,0.73,0.69,0.69,10.0,6.0,2.0,18.0,0.0,1.0,0.0,1.0,0.0,5.0,9.0,10.0,16.0,2.0,4.0,12.0,13.0,3.0,5.0,13.0,3.0,0.0,0.45,0.29,0.0,0.0,0.0,0.0,16.83,16.0,15.07,4.0,0.14,0.05,0.05,0.82,0.77,0.77,9.28,0.42,0.59,2.12,0.28,5.68,3.92,0.42,0.44,0.44,12.0,1.0,4.0,17.0,0.0,0.0,0.0,2.0,1.0,4.0,6.0,12.0,13.0,1.0,2.0,10.0,9.0,1.0,2.0,12.0,1.0,0.0,0.3,0.12,0.0,0.0,0.0,0.0,18.0,13.0,13.79,1.0,0.12,0.0,0.0,0.54,0.56,0.56
3820,84779868480839,2020,Dahlin-Montour,BUF,pairing,5on5,28,7545.0,152.0,0.49,0.46,0.48,60.78,5.78,4.02,13.91,2.0,34.27,26.02,5.7,5.84,5.76,68.0,18.0,18.0,104.0,2.0,4.0,1.0,11.0,2.0,27.0,40.0,66.0,84.0,8.0,16.0,45.0,25.0,12.0,15.0,61.0,19.0,6.0,1.56,2.31,1.91,1.0,0.0,1.0,105.37,86.0,86.56,6.0,0.84,1.06,1.06,5.56,5.58,5.52,67.93,5.9,4.49,16.02,2.25,38.2,28.14,5.71,6.08,5.89,69.0,26.0,25.0,120.0,5.0,6.0,2.0,13.0,2.0,35.0,34.0,64.0,90.0,9.0,18.0,54.0,38.0,12.0,17.0,70.0,18.0,7.0,1.91,2.17,1.82,1.0,1.0,3.0,123.3,95.0,97.32,8.0,0.92,1.17,1.17,5.65,5.83,5.7
4330,84758698477986,2020,Davidson-Montour,BUF,pairing,5on5,4,648.0,27.0,0.37,0.64,0.67,5.67,0.3,0.37,1.24,0.17,3.38,2.54,0.29,0.28,0.27,8.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,8.0,8.0,1.0,2.0,0.0,3.0,1.0,1.0,7.0,1.0,0.0,0.22,0.08,0.0,0.0,0.0,0.0,8.65,8.0,7.7,1.0,0.07,0.0,0.0,0.37,0.35,0.34,3.4,0.51,0.27,0.64,0.08,1.53,0.98,0.51,0.51,0.51,4.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,4.0,2.0,4.0,6.0,5.0,2.0,0.0,1.0,2.0,1.0,0.01,0.3,0.2,0.0,0.0,0.0,5.23,4.0,4.19,0.0,0.06,0.0,0.0,0.57,0.57,0.56
3613,84801968480839,2020,Dahlin-Bryson,BUF,pairing,5on5,15,859.0,113.0,0.21,0.27,0.26,3.51,0.14,0.2,0.83,0.11,2.11,1.61,0.14,0.14,0.14,4.0,1.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,5.0,0.0,0.0,2.0,6.0,0.0,4.0,5.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,6.34,5.0,4.74,2.0,0.04,0.0,0.0,0.18,0.18,0.18,9.85,0.54,0.64,2.44,0.36,5.77,4.25,0.54,0.56,0.55,10.0,4.0,5.0,19.0,0.0,1.0,0.0,3.0,0.0,2.0,8.0,10.0,14.0,1.0,0.0,2.0,3.0,4.0,2.0,13.0,1.0,0.0,0.45,0.09,0.0,0.0,0.0,0.0,19.75,14.0,14.22,1.0,0.13,0.09,0.09,0.58,0.59,0.58
2175,84745678476931,2019,Mccabe-Bogosian,BUF,pairing,5on5,13,4076.0,76.0,0.43,0.51,0.48,29.5,1.72,1.78,7.07,1.04,18.63,13.76,1.69,1.73,1.71,33.0,11.0,12.0,56.0,4.0,0.0,0.0,5.0,4.0,15.0,16.0,29.0,40.0,2.0,4.0,37.0,15.0,2.0,6.0,37.0,7.0,0.0,1.03,0.69,0.0,1.0,3.0,0.0,56.52,44.0,44.17,3.0,0.36,0.0,0.0,2.08,2.1,2.07,32.03,2.31,2.0,8.0,1.13,20.1,14.46,2.25,2.31,2.26,30.0,18.0,6.0,54.0,4.0,2.0,2.0,8.0,0.0,11.0,23.0,26.0,44.0,2.0,4.0,28.0,22.0,3.0,16.0,44.0,2.0,2.0,1.35,0.22,0.73,2.0,0.0,2.0,55.81,48.0,49.13,10.0,0.41,0.73,0.73,1.98,1.99,1.97
2313,84779868480935,2019,Pilut-Montour,BUF,pairing,5on5,9,702.0,90.0,0.8,0.53,0.6,4.18,0.28,0.22,1.13,0.14,2.34,1.89,0.28,0.27,0.26,4.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,6.0,0.0,0.0,1.0,3.0,2.0,4.0,5.0,1.0,0.0,0.18,0.1,0.0,0.0,0.0,0.0,7.71,6.0,5.82,1.0,0.04,0.0,0.0,0.33,0.31,0.31,2.78,0.07,0.14,0.65,0.08,1.8,1.26,0.07,0.07,0.07,2.0,2.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,4.0,1.0,2.0,3.0,2.0,0.0,2.0,4.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,7.75,4.0,4.33,1.0,0.03,0.0,0.0,0.1,0.1,0.1
10145,84800358482671,2022,Power-Jokiharju,BUF,pairing,5on5,59,42053.0,153.0,0.45,0.49,0.48,353.07,31.36,23.51,81.84,11.16,189.11,141.01,30.09,31.9,30.62,345.0,133.0,143.0,621.0,38.0,29.0,5.0,89.0,6.0,142.0,174.0,307.0,440.0,41.0,89.0,298.0,159.0,80.0,92.0,342.0,111.0,25.0,10.6,13.87,6.89,14.0,16.0,8.0,633.45,478.0,488.04,50.0,4.87,5.92,5.92,30.31,30.86,30.36,387.08,38.11,26.55,91.47,13.09,207.91,150.86,36.69,38.44,36.98,410.0,118.0,118.0,646.0,38.0,41.0,8.0,82.0,11.0,149.0,207.0,372.0,490.0,55.0,119.0,379.0,282.0,81.0,93.0,348.0,150.0,30.0,10.9,18.55,8.66,14.0,20.0,4.0,647.38,528.0,528.17,49.0,5.54,7.89,8.02,35.64,35.97,35.23
11850,84734468480807,2023,Samuelsson-Johnson,BUF,pairing,5on5,24,1844.0,222.0,0.52,0.5,0.51,12.16,1.21,0.93,3.03,0.49,6.88,5.45,1.2,1.2,1.19,16.0,2.0,4.0,22.0,2.0,2.0,0.0,1.0,0.0,4.0,9.0,14.0,16.0,1.0,5.0,11.0,12.0,2.0,2.0,14.0,2.0,2.0,0.48,0.28,0.45,1.0,1.0,0.0,22.14,18.0,18.28,2.0,0.2,0.24,0.24,1.17,1.15,1.15,11.86,1.1,0.97,2.74,0.41,6.7,5.08,1.08,1.07,1.05,14.0,3.0,5.0,22.0,1.0,1.0,0.0,4.0,0.0,6.0,5.0,13.0,16.0,1.0,2.0,4.0,18.0,2.0,7.0,11.0,6.0,0.0,0.38,0.71,0.0,0.0,1.0,0.0,21.9,17.0,17.0,4.0,0.2,0.2,0.2,1.09,1.07,1.06
2173,84746188476525,2019,Scandella-Miller,BUF,pairing,5on5,11,710.0,77.0,0.5,0.55,0.56,7.14,0.45,0.46,1.64,0.22,4.1,3.13,0.45,0.46,0.45,7.0,3.0,2.0,12.0,1.0,0.0,0.0,1.0,0.0,5.0,3.0,6.0,9.0,1.0,2.0,2.0,3.0,1.0,2.0,10.0,0.0,0.0,0.45,0.0,0.0,1.0,0.0,0.0,11.95,10.0,9.99,0.0,0.09,0.0,0.0,0.55,0.55,0.54,5.84,0.45,0.39,1.29,0.16,3.4,2.31,0.44,0.43,0.42,8.0,0.0,2.0,10.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,8.0,8.0,1.0,2.0,2.0,5.0,0.0,3.0,7.0,1.0,0.0,0.28,0.17,0.0,0.0,0.0,0.0,9.84,8.0,7.8,3.0,0.08,0.0,0.0,0.53,0.5,0.49
9962,84800358480839,2022,Dahlin-Jokiharju,BUF,pairing,5on5,51,13946.0,305.0,0.59,0.6,0.59,143.47,13.01,9.7,33.29,4.64,77.65,57.71,12.34,12.85,12.19,147.0,49.0,59.0,255.0,11.0,16.0,1.0,39.0,4.0,58.0,68.0,136.0,185.0,13.0,26.0,99.0,54.0,29.0,28.0,146.0,36.0,14.0,4.45,4.56,4.0,5.0,6.0,0.0,248.89,196.0,192.91,14.0,2.01,3.36,3.36,11.67,11.43,11.11,100.69,9.1,6.4,23.5,3.22,54.01,40.77,8.86,9.25,9.01,96.0,41.0,32.0,169.0,13.0,8.0,3.0,16.0,3.0,41.0,56.0,83.0,124.0,12.0,24.0,117.0,74.0,34.0,42.0,98.0,32.0,7.0,2.76,4.08,2.26,2.0,8.0,3.0,172.97,137.0,139.25,20.0,1.32,2.11,2.11,8.31,8.44,8.35
11844,84773658480196,2023,Bryson-Clifton,BUF,pairing,5on5,30,17600.0,106.0,0.48,0.48,0.47,122.23,10.46,8.26,30.14,4.01,67.18,47.97,10.31,10.52,10.36,119.0,49.0,72.0,240.0,8.0,11.0,3.0,27.0,0.0,65.0,57.0,111.0,160.0,12.0,27.0,114.0,128.0,31.0,26.0,128.0,27.0,13.0,3.76,3.31,3.38,3.0,3.0,2.0,241.45,168.0,168.18,14.0,1.71,2.37,2.37,9.79,9.79,9.72,134.88,11.31,8.81,33.68,4.47,73.82,53.91,10.72,11.22,10.65,120.0,66.0,78.0,264.0,7.0,16.0,0.0,28.0,0.0,71.0,64.0,113.0,179.0,16.0,32.0,135.0,193.0,45.0,19.0,143.0,30.0,13.0,3.85,3.81,3.66,4.0,3.0,0.0,261.17,186.0,184.64,14.0,1.83,3.05,3.05,10.09,10.05,9.78
12959,84808078480839,2023,Dahlin-Samuelsson,BUF,pairing,5on5,40,26371.0,93.0,0.5,0.51,0.52,227.53,18.9,15.14,58.03,7.34,122.62,87.96,18.24,18.51,17.86,215.0,95.0,109.0,419.0,12.0,25.0,3.0,49.0,1.0,115.0,108.0,203.0,298.0,31.0,62.0,237.0,192.0,45.0,64.0,231.0,61.0,18.0,6.31,7.5,5.09,4.0,5.0,3.0,402.44,310.0,300.07,37.0,3.16,4.6,4.58,17.48,17.09,16.73,206.42,18.86,13.31,50.63,6.75,110.78,81.68,18.28,19.14,18.56,190.0,92.0,123.0,405.0,21.0,20.0,3.0,43.0,0.0,98.0,100.0,169.0,261.0,27.0,54.0,263.0,179.0,49.0,58.0,205.0,61.0,16.0,6.61,7.68,4.57,9.0,7.0,5.0,415.47,282.0,287.69,29.0,2.78,3.87,3.87,17.77,18.08,17.67
6962,84808078480839,2021,Dahlin-Samuelsson,BUF,pairing,5on5,30,8332.0,184.0,0.54,0.57,0.56,68.78,6.17,4.59,15.27,2.13,37.89,28.95,6.01,6.42,6.25,67.0,28.0,31.0,126.0,3.0,4.0,0.0,20.0,3.0,29.0,36.0,64.0,92.0,8.0,16.0,62.0,60.0,18.0,25.0,69.0,22.0,4.0,2.37,2.79,1.01,1.0,1.0,1.0,128.48,95.0,98.34,17.0,0.94,0.76,0.76,6.36,6.59,6.54,55.42,5.27,3.86,12.25,1.7,29.92,21.99,5.11,5.17,5.01,58.0,17.0,20.0,95.0,5.0,3.0,0.0,16.0,2.0,20.0,29.0,53.0,70.0,7.0,14.0,70.0,52.0,22.0,21.0,52.0,18.0,5.0,1.78,2.17,1.32,3.0,0.0,2.0,94.06,75.0,73.93,13.0,0.82,0.88,0.88,5.2,5.12,5.01
7550,84757968480807,2021,Samuelsson-Pysyk,BUF,pairing,5on5,19,6401.0,118.0,0.41,0.4,0.43,48.72,3.75,3.15,11.18,1.54,25.69,20.7,3.68,3.81,3.74,53.0,13.0,12.0,78.0,5.0,3.0,1.0,10.0,4.0,17.0,27.0,48.0,61.0,7.0,16.0,34.0,32.0,6.0,17.0,50.0,14.0,2.0,1.21,2.01,0.53,1.0,3.0,1.0,80.48,66.0,67.61,9.0,0.65,0.49,0.49,3.91,3.97,3.95,63.11,5.44,4.37,15.1,2.04,35.64,26.41,5.26,5.48,5.29,66.0,23.0,29.0,118.0,5.0,5.0,0.0,16.0,3.0,21.0,39.0,61.0,84.0,5.0,10.0,43.0,30.0,12.0,13.0,67.0,18.0,4.0,1.98,2.2,1.26,1.0,2.0,2.0,119.29,89.0,88.73,8.0,0.91,0.89,0.89,5.45,5.46,5.35
11861,84801968482671,2023,Power-Bryson,BUF,pairing,5on5,18,4355.0,144.0,0.51,0.5,0.51,33.31,2.89,2.38,8.15,1.16,18.8,13.62,2.81,2.88,2.8,25.0,22.0,19.0,66.0,2.0,3.0,0.0,5.0,0.0,22.0,15.0,23.0,45.0,3.0,9.0,22.0,34.0,5.0,11.0,35.0,9.0,3.0,1.01,1.05,0.83,2.0,0.0,0.0,66.34,47.0,46.91,6.0,0.5,0.53,0.53,2.85,2.87,2.81,34.21,2.73,1.96,8.13,1.09,17.52,14.56,2.63,2.76,2.65,35.0,11.0,21.0,67.0,2.0,2.0,0.0,8.0,0.0,15.0,19.0,33.0,44.0,4.0,11.0,34.0,42.0,7.0,9.0,35.0,9.0,2.0,0.89,1.13,0.72,1.0,1.0,0.0,66.67,46.0,45.91,1.0,0.4,0.6,0.6,2.53,2.54,2.45
