,team,season,name,team.1,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
526,MTL,2022,MTL,MTL,Team Level,all,82,0.41,0.45,0.45,298417.0,2230.82,219.51,156.06,515.01,73.43,1208.49,890.52,210.21,218.08,208.85,2237.0,826.0,1150.0,4213.0,227.0,202.0,36.0,479.0,52.0,967.0,1136.0,2010.0,2836.0,329.0,767.0,2184.0,1597.0,512.0,1018.0,2174.0,647.0,242.0,63.46,79.79,76.26,69.0,90.0,68.0,4162.57,3063.0,3035.71,746.0,34.58,43.23,43.34,210.76,209.71,205.13,2766.82,314.52,200.73,629.72,92.07,1502.47,1057.47,295.88,317.54,298.82,2753.0,1044.0,1410.0,5207.0,305.0,284.0,46.0,552.0,69.0,1293.0,1294.0,2448.0,3492.0,296.0,684.0,2321.0,1617.0,603.0,904.0,2595.0,819.0,383.0,78.98,102.53,133.02,74.0,117.0,114.0,5300.66,3797.0,3849.89,659.0,44.97,66.85,66.92,292.58,295.32,284.89
399,MTL,2021,MTL,MTL,Team Level,5on4,82,0.8,0.84,0.82,23311.0,290.83,30.75,26.59,64.04,9.91,181.23,94.48,28.53,30.75,28.53,299.0,108.0,145.0,552.0,32.0,27.0,4.0,74.0,9.0,149.0,116.0,267.0,375.0,26.0,52.0,222.0,28.0,19.0,54.0,318.0,56.0,33.0,7.66,7.04,16.05,10.0,6.0,16.0,552.0,407.0,407.0,7.0,6.86,5.43,5.16,32.44,32.44,30.97,64.14,7.55,3.83,8.66,2.04,21.1,43.82,7.52,7.55,7.52,70.0,17.0,16.0,103.0,12.0,4.0,3.0,8.0,1.0,13.0,49.0,58.0,75.0,12.0,24.0,203.0,58.0,48.0,72.0,54.0,22.0,11.0,1.74,2.86,2.96,2.0,6.0,4.0,103.0,87.0,87.0,69.0,0.87,0.45,0.45,7.98,7.98,7.97
398,MTL,2021,MTL,MTL,Team Level,4on5,82,0.12,0.14,0.16,24498.0,79.44,7.36,4.0,11.84,2.61,25.07,57.11,7.18,7.36,7.18,91.0,17.0,14.0,122.0,5.0,3.0,0.0,8.0,2.0,19.0,71.0,86.0,103.0,13.0,32.0,205.0,91.0,48.0,66.0,81.0,17.0,10.0,2.23,2.28,2.85,1.0,2.0,2.0,122.0,108.0,108.0,62.0,0.93,0.71,0.71,7.58,7.58,7.51,416.15,51.82,38.46,87.19,13.88,254.17,128.48,49.17,51.82,49.17,421.0,153.0,179.0,753.0,67.0,42.0,8.0,78.0,20.0,216.0,151.0,354.0,507.0,19.0,42.0,251.0,24.0,15.0,70.0,374.0,145.0,55.0,11.25,17.17,23.4,13.0,22.0,32.0,753.0,574.0,574.0,15.0,9.94,7.02,7.02,54.74,54.74,52.41
397,MTL,2021,MTL,MTL,Team Level,5on5,82,0.46,0.47,0.46,240414.0,1837.06,155.15,123.84,440.85,60.69,1007.01,748.45,150.19,153.59,148.64,1906.0,630.0,890.0,3426.0,156.0,148.0,26.0,405.0,46.0,761.0,1020.0,1750.0,2380.0,272.0,594.0,1757.0,1854.0,410.0,893.0,1915.0,474.0,147.0,55.74,59.02,40.39,67.0,57.0,32.0,3343.53,2536.0,2482.79,679.0,25.68,28.94,29.56,151.27,149.38,146.89,2121.73,185.87,144.75,504.84,68.64,1169.1,854.79,178.93,189.66,182.56,2169.0,759.0,944.0,3872.0,196.0,167.0,29.0,500.0,71.0,961.0,1033.0,1973.0,2732.0,256.0,556.0,1802.0,1707.0,405.0,892.0,2148.0,599.0,181.0,63.38,73.67,48.82,75.0,83.0,38.0,3993.8,2928.0,3007.72,650.0,30.05,35.27,35.27,180.65,184.3,181.22
282,MTL,2020,MTL,MTL,Team Level,5on5,56,0.53,0.55,0.54,168194,1407.0,114.28,95.53,336.79,45.13,789.01,578.25,111.47,114.74,111.92,1415,544,741,2700,106,80,16,343,39,646,745,1309,1853,169,383,1193,1464,245,601,1483,380,96,42.59,46.37,25.34,36,46,24,2708.37,1959,1962.43,502,19.83,15.61,15.88,118.24,118.47,116.81,1205.33,101.17,81.36,288.1,40.06,675.01,499.3,98.72,102.38,99.89,1193,492,567,2252,103,80,10,313,35,490,664,1090,1582,152,349,1223,1255,294,613,1272,321,92,37.43,38.51,25.23,37,43,23,2273.52,1685,1701.0,476,16.85,16.25,16.6,101.41,102.64,101.26
396,MTL,2021,MTL,MTL,Team Level,all,82,0.44,0.47,0.46,298333.0,2341.54,216.55,164.14,542.85,77.71,1284.33,947.41,208.32,214.99,206.77,2444.0,789.0,1107.0,4340.0,218.0,188.0,32.0,513.0,64.0,983.0,1267.0,2226.0,3015.0,319.0,694.0,2322.0,2004.0,507.0,1046.0,2421.0,591.0,221.0,69.22,74.24,73.09,80.0,74.0,64.0,4257.53,3233.0,3179.79,772.0,36.23,37.88,38.24,214.54,212.64,207.97,2759.78,278.75,198.26,629.95,90.14,1524.71,1083.18,268.16,282.53,271.8,2824.0,981.0,1184.0,4989.0,317.0,223.0,43.0,618.0,95.0,1261.0,1291.0,2507.0,3488.0,297.0,640.0,2397.0,1822.0,494.0,1073.0,2696.0,820.0,289.0,81.35,100.78,96.62,96.0,123.0,98.0,5110.8,3805.0,3884.72,760.0,44.03,45.22,45.22,277.56,281.2,275.03
529,MTL,2022,MTL,MTL,Team Level,5on4,82,0.81,0.85,0.82,23664.0,268.12,30.66,24.79,60.0,9.03,158.42,84.11,29.19,30.66,29.19,269.0,98.0,132.0,499.0,32.0,33.0,4.0,52.0,11.0,113.0,126.0,237.0,335.0,20.0,38.0,184.0,34.0,11.0,36.0,255.0,71.0,41.0,6.72,8.33,15.61,3.0,9.0,20.0,499.0,367.0,367.0,4.0,6.39,4.86,4.86,32.19,32.19,31.32,60.05,7.33,3.57,9.39,2.09,20.08,39.55,7.21,7.33,7.21,72.0,10.0,7.0,89.0,2.0,3.0,0.0,12.0,0.0,17.0,48.0,70.0,80.0,8.0,16.0,182.0,55.0,61.0,45.0,51.0,19.0,12.0,1.5,2.56,3.27,0.0,0.0,2.0,89.0,82.0,82.0,45.0,0.82,0.66,0.88,7.27,7.27,7.22
150,MTL,2019,MTL,MTL,Team Level,other,71,0.54,0.59,0.61,7741.0,151.0,24.34,10.94,27.98,4.83,85.88,56.1,23.11,24.34,23.11,146.0,65.0,53.0,264.0,26.0,7.0,2.0,23.0,7.0,83.0,65.0,120.0,185.0,8.0,19.0,102.0,42.0,19.0,30.0,140.0,39.0,32.0,4.85,4.56,14.93,9.0,5.0,12.0,264.0,211.0,211.0,20.0,3.1,2.69,2.69,24.69,24.69,23.67,96.92,20.78,6.88,16.79,3.19,51.67,33.83,19.56,20.78,19.56,95.0,40.0,47.0,182.0,28.0,5.0,3.0,14.0,3.0,43.0,42.0,67.0,107.0,7.0,17.0,104.0,25.0,17.0,36.0,71.0,39.0,25.0,2.59,4.83,13.37,4.0,9.0,15.0,182.0,135.0,135.0,30.0,1.98,1.22,1.07,21.56,21.56,20.45
525,MTL,2022,MTL,MTL,Team Level,other,82,0.38,0.48,0.47,9703.0,132.12,24.85,10.25,23.33,4.33,72.23,44.0,22.65,24.85,22.65,130.0,49.0,74.0,253.0,25.0,11.0,1.0,15.0,4.0,70.0,54.0,105.0,154.0,7.0,17.0,120.0,21.0,14.0,27.0,84.0,58.0,37.0,3.35,6.87,14.63,5.0,7.0,13.0,253.0,179.0,179.0,19.0,2.99,3.16,3.0,24.84,24.84,23.28,150.08,41.15,10.36,24.05,4.82,74.85,48.77,36.89,41.15,36.89,149.0,55.0,67.0,271.0,34.0,10.0,0.0,19.0,4.0,76.0,61.0,115.0,170.0,12.0,29.0,122.0,34.0,18.0,34.0,93.0,46.0,65.0,3.59,5.33,32.23,3.0,7.0,24.0,271.0,204.0,204.0,23.0,3.12,4.33,4.11,40.16,40.16,36.83
770,MTL,2023,MTL,MTL,Team Level,other,82,0.43,0.44,0.44,10150.0,152.17,26.03,10.97,28.92,5.14,79.44,53.5,24.89,26.03,24.89,140.0,64.0,59.0,263.0,23.0,15.0,1.0,19.0,1.0,71.0,75.0,117.0,181.0,12.0,22.0,146.0,30.0,27.0,25.0,108.0,59.0,37.0,4.74,7.21,14.08,5.0,5.0,13.0,263.0,204.0,204.0,17.0,3.07,4.44,4.44,24.66,24.66,24.0,191.22,34.44,13.37,36.5,6.25,101.2,68.25,32.62,34.44,32.62,188.0,72.0,75.0,335.0,45.0,19.0,3.0,30.0,1.0,90.0,75.0,143.0,215.0,14.0,28.0,118.0,34.0,33.0,21.0,155.0,56.0,49.0,6.01,6.59,21.84,11.0,13.0,21.0,335.0,260.0,260.0,11.0,3.86,6.8,7.23,31.07,31.07,30.3
151,MTL,2019,MTL,MTL,Team Level,all,71,0.53,0.53,0.52,258596.0,2386.76,223.07,163.0,558.6,78.11,1309.56,969.79,213.98,224.14,215.04,2424.0,880.0,1148.0,4452.0,208.0,188.0,34.0,532.0,106.0,1053.0,1217.0,2216.0,3096.0,229.0,490.0,2140.0,1882.0,489.0,874.0,2434.0,626.0,244.0,64.85,77.88,80.34,66.0,67.0,75.0,4475.95,3304.0,3322.1,676.0,35.76,39.18,39.18,219.52,220.49,215.66,2142.02,201.0,150.35,501.51,71.42,1196.33,869.51,193.64,201.39,193.99,2210.0,782.0,928.0,3920.0,220.0,162.0,31.0,520.0,72.0,945.0,1073.0,1990.0,2772.0,205.0,442.0,2104.0,1693.0,531.0,911.0,2229.0,564.0,199.0,61.68,70.37,68.95,69.0,86.0,65.0,3920.91,2992.0,2993.71,686.0,33.29,31.16,31.21,202.96,203.28,198.78
152,MTL,2019,MTL,MTL,Team Level,5on5,71,0.54,0.54,0.54,212383.0,1932.14,161.3,127.75,471.95,64.14,1059.95,792.97,155.1,162.36,156.16,1968.0,711.0,970.0,3649.0,149.0,159.0,29.0,450.0,85.0,845.0,991.0,1819.0,2530.0,195.0,416.0,1686.0,1721.0,401.0,729.0,2007.0,509.0,163.0,52.52,63.81,44.97,53.0,55.0,41.0,3672.95,2679.0,2697.1,584.0,26.45,30.86,31.09,156.6,157.57,154.89,1653.04,137.65,110.23,405.73,55.71,921.76,684.92,133.31,138.03,133.66,1718.0,598.0,750.0,3066.0,147.0,125.0,25.0,444.0,56.0,714.0,830.0,1571.0,2169.0,176.0,380.0,1671.0,1592.0,454.0,779.0,1764.0,429.0,123.0,49.79,53.91,33.96,55.0,67.0,25.0,3066.91,2316.0,2317.71,591.0,22.82,24.23,24.69,135.78,136.1,134.02
153,MTL,2019,MTL,MTL,Team Level,4on5,71,0.16,0.15,0.16,20140.0,66.36,6.94,3.48,8.85,1.79,20.28,46.64,6.79,6.94,6.79,66.0,22.0,16.0,104.0,5.0,2.0,0.0,6.0,2.0,13.0,60.0,61.0,83.0,11.0,22.0,176.0,87.0,48.0,65.0,61.0,19.0,8.0,1.87,2.57,2.51,1.0,1.0,3.0,104.0,88.0,88.0,62.0,0.8,0.45,0.45,7.3,7.3,7.25,329.17,37.03,30.09,69.82,10.71,202.85,105.51,35.25,37.03,35.25,336.0,120.0,120.0,576.0,40.0,32.0,3.0,56.0,13.0,172.0,143.0,296.0,416.0,12.0,24.0,189.0,30.0,19.0,41.0,331.0,80.0,45.0,7.58,9.56,19.89,9.0,7.0,24.0,576.0,456.0,456.0,13.0,7.75,5.71,5.45,39.34,39.34,38.07
771,MTL,2023,MTL,MTL,Team Level,all,82,0.45,0.45,0.45,300787.0,2380.73,229.11,161.76,578.35,80.37,1283.95,942.45,219.13,229.35,219.33,2269.0,1007.0,1257.0,4533.0,232.0,234.0,31.0,452.0,14.0,1159.0,1185.0,2037.0,3044.0,336.0,755.0,2332.0,1805.0,463.0,788.0,2404.0,613.0,259.0,69.63,76.16,83.33,89.0,75.0,68.0,4518.7,3276.0,3269.09,554.0,35.95,51.7,51.7,213.36,213.4,208.53,2854.09,280.77,199.95,689.51,96.64,1551.41,1112.72,266.35,281.61,267.2,2738.0,1193.0,1605.0,5536.0,281.0,311.0,36.0,578.0,13.0,1401.0,1347.0,2457.0,3650.0,312.0,706.0,2200.0,1791.0,592.0,854.0,2933.0,677.0,321.0,83.61,85.9,111.26,101.0,99.0,81.0,5562.88,3931.0,3950.57,610.0,44.72,67.85,67.99,257.49,258.35,251.48
772,MTL,2023,MTL,MTL,Team Level,5on5,82,0.47,0.46,0.46,241548.0,1854.52,157.87,118.51,473.04,62.79,990.28,751.51,151.5,158.11,151.7,1748.0,806.0,1032.0,3586.0,160.0,185.0,24.0,366.0,10.0,910.0,923.0,1588.0,2394.0,292.0,658.0,1753.0,1703.0,381.0,671.0,1940.0,453.0,161.0,54.72,56.27,46.88,72.0,60.0,28.0,3571.7,2554.0,2547.09,479.0,24.68,40.31,40.38,142.18,142.22,139.72,2152.03,181.55,140.45,549.15,73.6,1170.03,865.22,174.02,182.4,174.87,2037.0,943.0,1296.0,4276.0,166.0,225.0,22.0,473.0,12.0,1049.0,1055.0,1871.0,2814.0,261.0,595.0,1673.0,1653.0,487.0,726.0,2289.0,501.0,190.0,65.21,64.09,52.24,77.0,69.0,20.0,4302.88,2980.0,2999.57,537.0,29.15,44.51,44.72,165.98,166.83,163.57
773,MTL,2023,MTL,MTL,Team Level,4on5,82,0.08,0.09,0.11,25587.0,51.74,5.06,2.9,7.97,1.8,17.6,35.68,5.03,5.06,5.03,63.0,8.0,14.0,85.0,7.0,0.0,0.0,5.0,1.0,5.0,53.0,56.0,64.0,12.0,30.0,216.0,56.0,38.0,57.0,52.0,11.0,8.0,1.29,1.53,2.23,3.0,1.0,3.0,85.0,71.0,71.0,56.0,0.67,0.0,0.0,5.72,5.72,5.7,438.1,57.89,42.73,92.3,14.54,257.57,129.97,53.07,57.89,53.07,432.0,163.0,222.0,817.0,59.0,60.0,9.0,69.0,0.0,251.0,156.0,373.0,536.0,24.0,54.0,243.0,22.0,15.0,45.0,417.0,106.0,72.0,10.35,13.48,34.06,9.0,14.0,36.0,817.0,595.0,595.0,3.0,10.94,14.61,14.24,54.59,54.59,51.79
774,MTL,2023,MTL,MTL,Team Level,5on4,82,0.85,0.85,0.82,23502.0,322.31,40.15,29.38,68.43,10.65,196.63,101.76,37.7,40.15,37.7,318.0,129.0,152.0,599.0,42.0,34.0,6.0,62.0,2.0,173.0,134.0,276.0,405.0,20.0,45.0,217.0,16.0,17.0,35.0,304.0,90.0,53.0,8.87,11.15,20.13,9.0,9.0,24.0,599.0,447.0,447.0,2.0,7.54,6.96,6.89,40.8,40.8,39.11,72.74,6.88,3.39,11.56,2.27,22.63,49.28,6.64,6.88,6.64,81.0,15.0,12.0,108.0,11.0,7.0,2.0,6.0,0.0,11.0,61.0,70.0,85.0,13.0,29.0,166.0,82.0,57.0,62.0,72.0,14.0,10.0,2.04,1.73,3.12,4.0,3.0,4.0,108.0,96.0,96.0,59.0,0.78,1.92,1.8,5.86,5.86,5.82
154,MTL,2019,MTL,MTL,Team Level,5on4,71,0.85,0.82,0.79,18332.0,237.25,30.49,20.83,49.82,7.34,143.44,74.06,28.99,30.49,28.99,244.0,82.0,109.0,435.0,28.0,20.0,3.0,53.0,12.0,112.0,101.0,216.0,298.0,15.0,33.0,176.0,32.0,21.0,50.0,226.0,59.0,41.0,5.62,6.95,17.93,3.0,6.0,19.0,435.0,326.0,326.0,10.0,5.39,5.19,4.95,30.94,30.94,29.86,62.9,5.54,3.15,9.18,1.81,20.05,45.26,5.51,5.54,5.51,61.0,24.0,11.0,96.0,5.0,0.0,0.0,6.0,0.0,16.0,58.0,56.0,80.0,10.0,21.0,140.0,46.0,41.0,55.0,63.0,16.0,6.0,1.73,2.07,1.74,1.0,3.0,1.0,96.0,85.0,85.0,52.0,0.74,0.0,0.0,6.28,6.28,6.24
517,NJD,2022,NJD,NJD,Team Level,5on5,82,0.56,0.54,0.54,246821.0,2311.81,209.18,149.3,561.06,77.06,1232.76,921.72,199.75,211.21,201.77,2269.0,883.0,1145.0,4297.0,197.0,233.0,26.0,412.0,65.0,1130.0,1115.0,2072.0,2955.0,236.0,514.0,1878.0,1275.0,503.0,652.0,2289.0,665.0,198.0,70.53,83.72,54.93,81.0,83.0,33.0,4360.28,3152.0,3194.52,340.0,31.0,47.38,47.44,192.73,194.7,190.47,1907.76,164.22,122.78,467.49,65.33,1046.96,789.23,159.11,164.18,159.09,1842.0,814.0,990.0,3646.0,155.0,177.0,29.0,327.0,49.0,930.0,1018.0,1687.0,2501.0,220.0,492.0,1857.0,1697.0,476.0,624.0,1946.0,570.0,140.0,56.37,69.24,38.6,52.0,65.0,38.0,3621.54,2656.0,2648.63,335.0,25.38,34.51,34.65,154.95,154.58,152.44
516,NJD,2022,NJD,NJD,Team Level,all,82,0.56,0.54,0.54,299270.0,2856.88,302.09,192.02,660.95,95.34,1528.78,1118.89,284.86,304.12,286.89,2822.0,1077.0,1376.0,5275.0,289.0,289.0,39.0,488.0,80.0,1419.0,1334.0,2533.0,3610.0,260.0,560.0,2418.0,1366.0,619.0,768.0,2713.0,871.0,315.0,83.09,109.35,109.65,93.0,110.0,86.0,5338.28,3899.0,3941.52,371.0,42.29,62.13,62.19,282.19,284.16,275.79,2401.55,232.59,162.73,561.97,81.52,1320.64,972.55,223.85,232.56,223.83,2315.0,1017.0,1220.0,4552.0,222.0,226.0,35.0,380.0,58.0,1199.0,1247.0,2093.0,3110.0,255.0,562.0,2299.0,1829.0,565.0,715.0,2381.0,719.0,232.0,69.2,87.15,76.24,61.0,86.0,75.0,4527.54,3332.0,3324.63,362.0,35.83,44.98,45.07,223.35,222.98,218.29
518,NJD,2022,NJD,NJD,Team Level,4on5,82,0.13,0.13,0.15,22519.0,56.89,5.77,2.77,8.21,1.86,17.95,39.45,5.7,5.77,5.7,61.0,15.0,13.0,89.0,9.0,3.0,1.0,4.0,0.0,16.0,44.0,52.0,67.0,6.0,12.0,208.0,42.0,80.0,24.0,52.0,17.0,7.0,1.54,2.25,1.97,2.0,3.0,4.0,89.0,76.0,76.0,23.0,0.64,0.65,0.65,5.76,5.76,5.74,307.03,37.52,28.05,63.1,10.15,187.58,98.6,35.17,37.52,35.17,297.0,128.0,149.0,574.0,37.0,36.0,4.0,37.0,7.0,181.0,127.0,260.0,388.0,18.0,36.0,187.0,25.0,17.0,49.0,290.0,87.0,48.0,7.71,10.58,19.22,4.0,13.0,20.0,574.0,425.0,425.0,3.0,7.11,7.58,7.52,37.11,37.11,35.44
430,NJD,2021,NJD,NJD,Team Level,other,82,0.46,0.53,0.55,10401.0,138.99,26.76,9.29,25.74,4.63,75.9,49.68,24.41,26.76,24.41,132.0,60.0,56.0,248.0,23.0,6.0,2.0,30.0,5.0,56.0,72.0,109.0,169.0,3.0,6.0,102.0,28.0,25.0,25.0,107.0,52.0,33.0,4.44,6.26,16.06,6.0,3.0,14.0,248.0,192.0,192.0,10.0,2.65,2.08,2.08,27.34,27.34,25.0,115.68,30.99,7.53,19.3,3.74,54.89,42.55,29.11,30.99,29.11,113.0,46.0,57.0,216.0,35.0,6.0,4.0,15.0,12.0,41.0,50.0,78.0,124.0,5.0,12.0,137.0,33.0,24.0,20.0,76.0,42.0,41.0,2.87,5.46,22.66,9.0,6.0,20.0,216.0,159.0,159.0,4.0,2.15,2.58,2.58,30.57,30.57,28.9
210,NJD,2020,N.J,N.J,Team Level,other,56,0.46,0.55,0.54,6727,90.83,15.07,6.92,17.23,3.29,53.84,30.66,14.66,15.07,14.66,95,32,46,173,20,7,3,23,3,33,41,75,107,2,4,83,18,11,17,83,29,15,3.26,4.0,7.81,9,4,7,173.0,127,127.0,6,1.93,1.95,1.95,15.05,15.05,14.64,75.58,17.87,5.33,12.66,2.43,42.5,26.26,17.22,17.87,17.22,88,20,34,142,21,3,0,13,5,38,28,67,87,4,8,85,16,17,14,58,32,18,2.46,3.78,11.63,6,4,11,142.0,108,108.0,7,1.47,0.92,0.92,18.36,18.36,17.79
431,NJD,2021,NJD,NJD,Team Level,all,82,0.5,0.51,0.5,298712.0,2578.41,241.76,172.47,584.86,85.3,1440.47,1051.15,233.02,240.75,232.02,2562.0,1014.0,1142.0,4718.0,245.0,170.0,46.0,632.0,101.0,1045.0,1383.0,2317.0,3331.0,257.0,574.0,2214.0,1561.0,644.0,815.0,2591.0,778.0,207.0,78.8,93.08,69.88,69.0,98.0,78.0,4666.41,3576.0,3544.66,449.0,37.52,39.29,39.29,239.99,238.71,232.35,2538.63,246.15,167.49,581.12,83.35,1395.61,1046.29,238.4,249.25,241.44,2540.0,980.0,1021.0,4541.0,302.0,162.0,50.0,626.0,111.0,960.0,1359.0,2238.0,3218.0,269.0,604.0,2512.0,1839.0,656.0,720.0,2587.0,706.0,227.0,77.36,85.7,83.08,112.0,94.0,96.0,4623.48,3520.0,3572.35,348.0,36.17,38.45,38.49,243.81,246.64,241.84
432,NJD,2021,NJD,NJD,Team Level,5on5,82,0.51,0.51,0.5,246786.0,2120.15,181.26,137.13,495.49,69.4,1175.38,876.33,176.38,180.25,175.37,2114.0,821.0,932.0,3867.0,182.0,144.0,38.0,540.0,80.0,842.0,1147.0,1932.0,2753.0,228.0,518.0,1732.0,1449.0,543.0,685.0,2160.0,634.0,141.0,65.74,75.61,39.92,60.0,77.0,45.0,3815.41,2935.0,2903.66,398.0,28.22,31.89,31.92,177.56,176.28,173.43,2098.55,175.05,134.12,500.2,68.96,1162.46,873.21,170.65,178.16,173.68,2099.0,815.0,873.0,3787.0,216.0,131.0,36.0,557.0,85.0,790.0,1135.0,1883.0,2698.0,247.0,558.0,2039.0,1704.0,559.0,591.0,2212.0,557.0,145.0,66.74,67.32,40.99,91.0,73.0,52.0,3869.48,2914.0,2966.35,312.0,27.59,28.2,28.23,174.42,177.24,175.13
211,NJD,2020,N.J,N.J,Team Level,all,56,0.47,0.5,0.49,204176,1598.24,144.56,107.9,367.4,51.78,900.58,648.72,140.31,144.41,140.15,1613,650,726,2989,145,105,25,400,62,664,887,1468,2118,149,338,1481,948,413,557,1713,431,119,51.24,52.14,41.18,51,54,40,2964.87,2263,2253.46,274,23.47,24.0,25.02,140.2,140.04,137.74,1677.72,164.7,115.13,383.74,54.83,936.57,671.59,159.81,166.2,161.29,1739,610,615,2964,189,129,27,444,77,644,866,1550,2160,170,372,1699,1061,403,451,1734,463,152,51.65,55.9,57.16,66,61,62,2995.3,2349,2364.1,226,25.18,28.79,28.79,159.59,161.1,158.2
705,NJD,2023,NJD,NJD,Team Level,other,82,0.44,0.52,0.5,11851.0,160.22,38.49,11.83,28.72,5.53,85.25,48.18,34.82,38.49,34.82,162.0,56.0,84.0,302.0,38.0,25.0,4.0,24.0,1.0,69.0,61.0,124.0,180.0,6.0,12.0,128.0,22.0,23.0,27.0,98.0,59.0,61.0,4.21,7.31,26.97,9.0,7.0,22.0,302.0,218.0,218.0,12.0,3.42,8.32,8.32,33.58,33.58,31.33,157.17,48.5,10.56,25.94,5.16,79.14,48.69,45.29,48.5,45.29,151.0,67.0,66.0,284.0,44.0,16.0,3.0,23.0,0.0,72.0,63.0,107.0,174.0,10.0,23.0,122.0,27.0,25.0,21.0,94.0,44.0,80.0,3.83,5.56,39.11,5.0,4.0,35.0,284.0,218.0,218.0,7.0,3.04,5.36,5.36,46.19,46.19,43.29
214,NJD,2020,N.J,N.J,Team Level,5on4,56,0.85,0.87,0.84,15172,173.08,18.61,15.41,37.49,6.12,109.28,56.36,17.99,18.61,17.99,177,70,85,332,20,14,3,44,6,85,78,157,227,8,18,127,18,9,50,180,48,19,4.22,5.74,8.66,3,5,12,332.0,247,247.0,3,3.95,2.61,2.51,19.79,19.79,19.28,33.02,3.39,1.77,4.5,1.01,10.62,23.78,3.39,3.39,3.39,38,8,2,48,4,0,0,6,2,6,28,34,42,6,12,145,34,33,11,28,16,2,0.89,2.04,0.45,2,1,1,48.0,46,46.0,11,0.41,0.0,0.0,3.74,3.74,3.73
16,NJD,2019,N.J,N.J,Team Level,all,69,0.48,0.47,0.48,252282.0,2092.51,196.4,140.7,464.72,67.02,1153.84,867.32,189.44,197.12,190.12,2115.0,775.0,827.0,3717.0,185.0,132.0,25.0,484.0,77.0,845.0,1167.0,1930.0,2705.0,252.0,556.0,1867.0,1381.0,485.0,670.0,2109.0,612.0,169.0,60.45,75.76,60.2,55.0,70.0,60.0,3714.62,2890.0,2895.52,395.0,31.06,30.76,30.76,196.71,197.26,193.69,2234.58,209.86,147.88,504.4,74.13,1235.49,923.64,201.69,211.22,203.05,2257.0,844.0,1033.0,4134.0,224.0,153.0,36.0,541.0,84.0,957.0,1142.0,2033.0,2877.0,258.0,569.0,2120.0,1339.0,541.0,554.0,2277.0,631.0,193.0,67.94,75.57,66.34,86.0,72.0,66.0,4162.69,3101.0,3115.9,301.0,32.23,36.58,38.18,203.52,204.97,200.45
